plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-1188,Juncellus inundatus (Roxb.) C.B.Clarke,Pati,CYPERACEAE,Pati,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003242&column=szBarcode,BSI,SOURCE_ONLY,False,988,
PLANT-1189,Juncus effusus L.,Matting Rush (Eng.),JUNCACEAE,Matting Rush (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013141&column=szBarcode,BSI,SOURCE_ONLY,False,989,
PLANT-1190,Juniperus communis L.,"Aaraar, Haubera",CUPRESSACEAE,"Aaraar, Haubera; Hauber; Hapusa",Ayurveda,,,Fruit,Tree,AHTUW,Hapusa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008581&column=szBarcode,BSI+NMPB,HIGH,False,990,523
PLANT-1191,Juniperus macropoda Boiss.,Hapusa,CUPRESSACEAE,Hapusa,Ayurveda,,,Mature Fruit,Tree,A,,,NMPB,SOURCE_ONLY,False,,524
PLANT-1192,Juniperus polycarpus C.Koch,Dhup,CUPRESSACEAE,Dhup,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009158&column=szBarcode,BSI,SOURCE_ONLY,False,991,
PLANT-1193,Juniperus recurva Buch.-Ham. ex D.Don,Chukboo (Sikkim),CUPRESSACEAE,Chukboo (Sikkim),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009159&column=szBarcode,BSI,SOURCE_ONLY,False,992,
PLANT-1194,Jurinea dolomiaea Boiss.,Dhoop Lakkad,ASTERACEAE,Dhoop Lakkad,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009356&column=szBarcode,BSI,SOURCE_ONLY,False,993,
PLANT-1195,Jurinea macrocephala DC.; [ = J. dolomiaea Boiss.],Dhoop,ASTERACEAE,Dhoop,Ayurveda,,,Root,Herb,AF,,,NMPB,SOURCE_ONLY,False,,525
PLANT-1196,Justicia adhatoda L.,Arusha,ACANTHACEAE,Arusha,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009062&column=szBarcode,BSI,SOURCE_ONLY,False,994,
PLANT-1197,Justicia betonica L.,Tellarantu (Tel.),ACANTHACEAE,Tellarantu (Tel.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013321&column=szBarcode,BSI,SOURCE_ONLY,False,995,
